,season_id,home_team,visiting_team,game_number,attendance,location,date_played,home_team_name,visiting_team_name,location_name
0,8,1,9,11,3516,28,2025-12-03,Boston Fleet,Vancouver Goldeneyes,
1,8,1,2,16,5338,28,2025-12-07,Boston Fleet,Minnesota Frost,
2,8,6,3,18,10438,32,2025-12-17,Toronto Sceptres,Montréal Victoire,
3,8,2,5,24,7238,33,2025-12-21,Minnesota Frost,Ottawa Charge,
4,8,3,6,29,18107,15,2025-12-27,Montréal Victoire,Toronto Sceptres,
5,8,9,2,30,10264,27,2025-12-27,Vancouver Goldeneyes,Minnesota Frost,
6,8,4,8,31,8514,34,2025-12-28,New York Sirens,Seattle Torrent,
7,8,6,8,36,16012,35,2026-01-03,Toronto Sceptres,Seattle Torrent,
8,8,1,9,37,9624,9,2026-01-03,Boston Fleet,Vancouver Goldeneyes,
9,8,1,8,41,6003,28,2026-01-07,Boston Fleet,Seattle Torrent,
10,8,1,5,42,10452,32,2026-01-11,Boston Fleet,Ottawa Charge,
11,8,3,9,44,14624,19,2026-01-11,Montréal Victoire,Vancouver Goldeneyes,
12,8,6,9,48,17856,13,2026-01-17,Toronto Sceptres,Vancouver Goldeneyes,
13,8,4,3,49,17228,36,2026-01-18,New York Sirens,Montréal Victoire,
14,8,8,9,57,11612,23,2026-01-25,Seattle Torrent,Vancouver Goldeneyes,
15,8,5,3,73,17114,20,2026-04-03,Ottawa Charge,Montréal Victoire,
16,8,2,4,79,15512,23,2026-03-15,Minnesota Frost,New York Sirens,
17,8,1,6,80,6095,28,2026-03-17,Boston Fleet,Toronto Sceptres,
18,8,5,3,86,15225,37,2026-03-22,Ottawa Charge,Montréal Victoire,
19,8,8,4,89,10006,33,2026-03-25,Seattle Torrent,New York Sirens,
20,8,3,4,91,15938,9,2026-03-28,Montréal Victoire,New York Sirens,
21,8,5,6,97,16150,38,2026-04-01,Ottawa Charge,Toronto Sceptres,
22,8,4,8,99,18006,40,2026-04-04,New York Sirens,Seattle Torrent,
23,8,9,1,101,10794,27,2026-04-07,Vancouver Goldeneyes,Boston Fleet,
24,8,1,3,105,17850,39,2026-04-11,Boston Fleet,Montréal Victoire,
